category,subcategory,item_group,item_name,unit,description,tags,source
Preliminaries & General,Temporary Facilities & Site Setup,Temporary Fencing & Hoarding,Temporary Fencing & Hoarding - Hoarding panel 2.4m,meter,,temporary;site,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Preliminaries & General,Temporary Facilities & Site Setup,Temporary Fencing & Hoarding,Temporary Fencing & Hoarding - Hoarding panel 3.0m,meter,,temporary;site,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Preliminaries & General,Temporary Facilities & Site Setup,Temporary Fencing & Hoarding,Temporary Fencing & Hoarding - Steel fence panel 2.4m,meter,,temporary;site,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Preliminaries & General,Temporary Facilities & Site Setup,Site Signage,Site Signage - Safety sign - PPE required,each,,temporary;safety,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Preliminaries & General,Temporary Facilities & Site Setup,Site Signage,Site Signage - Warning sign - Authorized personnel,each,,temporary;safety,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Preliminaries & General,Temporary Facilities & Site Setup,Site Signage,Site Signage - Directional sign - Site office,each,,temporary;safety,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Sand,Sand - Washed sand,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Sand,Sand - River sand,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Sand,Sand - Fill sand,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
Earthworks & Ground Improvement,Fill & Backfill Materials,Gravel,Gravel - 10mm gravel,cubic_meter,,earthworks;fill,"Derived from common Singapore practice (BCA CDE Data Standard, iNPQS references) and international classification standards (ISO 6707, Uniclass 2015, OmniClass, MasterFormat)."
